"Marca temporal","¿En qué provincia/ país naciste? ","¿Cómo es tu situación habitacional?","Si no vivís en Córdoba Capital, ¿cuánto tiempo de viaje tenés de traslado hasta la universidad?","Cómo solventas tus estudios/vida estudiantil?","En tu educación primaria y secundaria, fuiste a","Respecto a  Educación Universitaria, dentro de tu familia:","Sabes cuánto cuesta la cuota mensual de nuestra carrera en una universidad privada? Decinos un monto aproximado.","Si la universidad fuera arancelada, podrías seguir estudiando?","Si la respuesta anterior fue sí,¿Por qué actualmente elegís estudiar en la universidad pública?","Crees que la producción de conocimiento científico debe ser","¿Cuan importante crees que es la educación y la ciencia públicas de un país?","¿Conoces alguna actividad de extensión universitaria o desarrollo científico tecnológico de la UNC y/o CONICET que haya sido de gran imoprtancia para tu vida, tu barrio, tu ciudad o el pais entero?","¿Podrías nombrar alguna/s? OPCIONAL","En una o pocas palabras ¿qué te brinda la UNC?","Gracias por tu respuesta! ¿Querés dejar algún comentario?"
"2023/09/05 12:46:59 p. m. GMT-3","Córdoba ","Alquilo casa/dpto sola/o","","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","$80.000","Sí","para ahorrar el gasto a mis padres ","Mixta","Fundamental","No se me ocurre ninguna","no se me ocurre ninguna ","",""
"2023/09/05 1:11:08 p. m. GMT-3","Cordoba","Alquilo casa/dpto sola/o","","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","No","Sí","Porque biotecnológica no está en otra universidad y aparte me gusta la UNC","Pública","Fundamental","No se me ocurre ninguna","-","",""
"2023/09/05 1:14:10 p. m. GMT-3","Córdoba","Vivo con mi familia","","Con el apoyo económico de familiares","Escuela Privada","Si bien otros familiares estudiaron en la universidad, ninguno pudo recibirse. Quiero ser el/la primerx.","70000$","No","","Pública","Fundamental","No se me ocurre ninguna","Nose","Un posible futuro",""
"2023/09/05 1:16:51 p. m. GMT-3","Cordoba ","Alquilo casa/dpto sola/o","2 horas","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","120 mil pesos","Sí","Porque no está en las otras universidades ","Pública","Fundamental","No se me ocurre ninguna",". ","Educación ",""
"2023/09/05 1:18:12 p. m. GMT-3","Chaco/Argentina","Alquilo casa/dpto sola/o","","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","130 mil pesos por mes asumo","Tal vez con becas","Porque si puedo disminuir gastos lo haria.","Mixta","Fundamental","No se me ocurre ninguna","no se","un método de devolución mediante estudios del esfuerzo de pagos de impuestos que mi familia le hace al gobierno mes a mes",""
"2023/09/05 1:23:58 p. m. GMT-3","Córdoba ","Vivo con mi familia","","Con el apoyo económico de familiares","Escuela Privada","Si bien otros familiares estudiaron en la universidad, ninguno pudo recibirse. Quiero ser el/la primerx.","$100.000 mensuales","No lo sé","","Pública","Fundamental","No se me ocurre ninguna","no","",""
"2023/09/05 1:24:25 p. m. GMT-3","San Luis","Alquilo con amigxs/pareja casa/ dpto","15 min","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","120mil","No","","Pública","Fundamental","Sí, algunas.",".","Formacion academica de calidad",""
"2023/09/05 1:30:49 p. m. GMT-3","Córdoba","Alquilo con amigxs/pareja casa/ dpto","30 minutos","Trabajo full Time","Escuela Pública","Si bien otros familiares estudiaron en la universidad, ninguno pudo recibirse. Quiero ser el/la primerx.","$100.000","Tal vez con becas","","Mixta","Fundamental","Si, muchas",".","La posibilidad de estudiar y vivir la experiencia universitaria sin tener que preocuparme por si lograré pagar el alquiler ese mes",""
"2023/09/05 1:31:17 p. m. GMT-3","Córdoba/Argentina","Vivo con mi familia","2 horas ","Con el apoyo económico de familiares","Escuela Pública;Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","100.000","No","","Mixta","Fundamental","No se me ocurre ninguna",".","",""
"2023/09/05 1:34:22 p. m. GMT-3","Mendoza, Argentina ","Vivo con mi familia","","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","20000?","Sí","Porque es gratis y tiene buena formación ","Mixta","Fundamental","No se me ocurre ninguna","-","Un espacio para aprender, desarrollarme profesionalmente y conocer personas",""
"2023/09/05 1:47:09 p. m. GMT-3","Córdoba ","Vivo con mi familia","1:30","Hago trabajos esporádicos/ free lance","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","90000","No","","Pública","Fundamental","Si, muchas","En pandemia estuvo muy involucrada conicet","Un futuro ",""
"2023/09/05 1:51:23 p. m. GMT-3","Córdoba ","Vivo con mi familia","","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","600000","No","","Mixta","Fundamental","Sí, algunas.","En la pandemia de COVID 19, la universidad brindó apoyo a través del desarrollo tecnológico (kits para testeo, inmunoensayos cromatograficos, investigación sobre las distintas cepas, etcétera)","Aprendizaje, estudio, conocimiento ",""
"2023/09/05 1:52:29 p. m. GMT-3","Cordoba","Vivo con mi familia","45 minutos ","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","Ni idea","Sí","Por que el nivel d ela universidad publica no se compara a el de las universidades privadas","Pública","Importante","No se me ocurre ninguna",".","",""
"2023/09/05 2:04:21 p. m. GMT-3","Córdoba","Alquilo con amigxs/pareja casa/ dpto","","Con el apoyo económico de familiares","Escuela Pública","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","No lo sé.","No lo sé","","Pública","Fundamental","Sí, algunas.","La investigación sobre cultivos transgénicos (por ejemplo: soja, trigo, etc.) para el desarrollo a condiciones desfavorables, es decir, otorgarle resistencia a condiciones salínicas, resistencia a sequías, y demás.","Me brinda la posibilidad de poder estudiar una carrera con muy buen nivel de contenido educativo y con docentes altamente calificados, ya que todos o la mayoría son además profesionales trabajando en investigación.",""
"2023/09/05 4:07:44 p. m. GMT-3","Córdoba/Argentina ","Alquilo casa/dpto sola/o","20 minutos ","Con el apoyo económico de familiares;Tengo beca/s del Estado (Progresar, Manuel Belgrano, otra)","Escuela Pública;secundario semiprivado","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","60000","No lo sé","","Pública","Fundamental","Sí, algunas.",".","posibilidades y puertas para el futuro ",""
"2023/09/05 4:47:06 p. m. GMT-3","Buenos Aires (Arg)","Alquilo con amigxs/pareja casa/ dpto","","Con el apoyo económico de familiares;Tengo beca/s del Estado (Progresar, Manuel Belgrano, otra)","Escuela Pública","Soy el/la primerx en venir a la universidad","No se ","No","","Pública","Fundamental","Sí, algunas.","Taller de promotores de la salud (en la cual participo)","Un apoyo fundamental para poder formarme como profesional.",""
"2023/09/05 4:51:59 p. m. GMT-3","La Pampa, Argentina","Alquilo con amigxs/pareja casa/ dpto","","Con el apoyo económico de familiares","Escuela Pública","Soy el/la primerx en venir a la universidad","80.000","No","","Pública","Importante","No se me ocurre ninguna",".","",""
"2023/09/05 6:04:15 p. m. GMT-3","Pcia. De Bs As ","Alquilo con amigxs/pareja casa/ dpto","","Con el apoyo económico de familiares;Tengo beca/s del Estado (Progresar, Manuel Belgrano, otra)","Escuela Pública","Soy el/la primerx en venir a la universidad","Nose ","No lo sé","","Pública","Fundamental","Sí, algunas.","El kit para detección del covid 19","Educación y nuevas oportunidades ",""
"2023/09/05 6:05:03 p. m. GMT-3","cordoba, Argentina","Alquilo casa/dpto sola/o","","Con el apoyo económico de familiares;Tengo beca/s del Estado (Progresar, Manuel Belgrano, otra)","Escuela Pública","Si bien otros familiares estudiaron en la universidad, ninguno pudo recibirse. Quiero ser el/la primerx.","120000","No lo sé","","Mixta","Importante","No se me ocurre ninguna",".","",""
"2023/09/05 6:05:49 p. m. GMT-3","Santa Fe Argentina ","Alquilo casa/dpto sola/o","","Con el apoyo económico de familiares;Tengo beca/s del Estado (Progresar, Manuel Belgrano, otra)","Escuela Pública;Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs;Soy el/la primerx en venir a la universidad","No conozco","No lo sé","","Mixta","Fundamental","No se me ocurre ninguna",".","La posibilidad de tener un futuro mejor gracias al conociemiento",""
"2023/09/05 6:17:45 p. m. GMT-3","Catamarca, Argentina ","Alquilo casa/dpto sola/o","","Con el apoyo económico de familiares","Escuela Privada","Mi padre/madre/tutorx/hermanx es/son egresadxs universitarixs","70-80mil aprox","No","","Pública","Fundamental","Si, muchas","El barbijo con partículas de plata para el COVID","La posibilidad de estudiar, tener un título y poder tener más oportunidades laborales.",""
